code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
510050.SH,2024-10-17,2024-10-18,2024-10-17,2.480320303599537,1.4193701754252683,-0.6686446106469726,1.0692412540113232,3.114313068765043,0.7084434650858099,0.9581839173573127,1,2024-10-25,2.715,2.793,0.02872928176795586,0.02872928176795586,TRADE_OK,2025-12-23
513050.SH,2024-10-17,2024-10-18,2024-10-17,1.381255894183805,1.5605821183348967,-1.6070998044023908,1.4746030391942493,3.114313068765043,0.8510205858888853,0.9176433120171585,2,2024-10-25,1.2,1.218,0.015000000000000124,0.015000000000000124,TRADE_OK,2025-12-23
159605.SZ,2024-10-17,2024-10-18,2024-10-17,1.2352839585816773,1.7115593468362464,-1.9103181948191432,1.3999962007976405,2.527784276492768,0.9566456416417926,0.7925406543009443,3,2024-10-25,0.928,0.9470000000000001,0.020474137931034475,0.020474137931034475,TRADE_OK,2025-12-23
513050.SH,2024-10-24,2024-10-25,2024-10-24,1.3458055669661453,0.26962694251519803,0.37623370689155206,-1.9345490383649468,3.114313068765043,0.9231267197603535,0.11405016065993057,1,2024-11-01,1.2189999999999999,1.218,-0.0008203445447086954,-0.0008203445447086954,TRADE_OK,2025-12-23
159605.SZ,2024-10-24,2024-10-25,2024-10-24,0.9996435482525398,0.3802539305438768,0.2683173044586124,-1.9345490383649468,3.087031609290067,1.0752622790601234,0.01749861626163668,2,2024-11-01,0.9460000000000001,0.9500000000000001,0.0042283298097252064,0.0042283298097252064,TRADE_OK,2025-12-23
515180.SH,2024-10-24,2024-10-25,2024-10-24,0.24684542321872222,-0.6605046496172391,1.423281819784813,0.3598948113556744,-0.3965927460995976,0.657254368084859,-0.15114559573792524,3,2024-11-01,1.337,1.326,-0.008227374719521285,-0.008227374719521285,TRADE_OK,2025-12-23
510050.SH,2024-10-31,2024-11-01,2024-10-31,2.448936337445085,-0.5786569857106495,0.6787533510469328,-0.13708922005970714,3.114313068765043,0.45747032252730296,0.8458813806122941,1,2024-11-08,2.735,2.8819999999999997,0.053747714808043856,0.053747714808043856,TRADE_OK,2025-12-23
510310.SH,2024-10-31,2024-11-01,2024-10-31,2.480320303599537,-0.6641749114187256,0.7440689861917258,-0.4664723977144514,3.114313068765043,1.080764044174307,0.6958178236496775,2,2024-11-08,3.811,4.024,0.0558908422986093,0.0558908422986093,TRADE_OK,2025-12-23
588200.SH,2024-10-31,2024-11-01,2024-10-31,2.480320303599537,1.3257437487928132,-0.0031108393414051414,1.0540810154480031,3.114313068765043,1.966506011781328,0.6806563859393542,3,2024-11-08,1.365,1.4809999999999999,0.0849816849816849,0.0849816849816849,TRADE_OK,2025-12-23
518880.SH,2024-11-14,2024-11-15,2024-11-14,-1.0120582556813225,-1.41653254612426,-0.5061500898567118,-1.6590286737083912,2.731102746039467,-1.070417646505112,0.3244130684008898,1,2024-11-22,5.710999999999999,6.010000000000001,0.05235510418490663,0.05235510418490663,TRADE_OK,2025-12-23
