code,select_td,buy_td,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
159605.SZ,2024-10-24,2024-10-25,2024-11-01,0.9460000000000001,0.9500000000000001,0.0042283298097252064,0.0042283298097252064,TRADE_OK,2025-12-23
159607.SZ,2024-10-24,2024-10-25,2024-11-01,0.937,0.9410000000000001,0.004268943436499528,0.004268943436499528,TRADE_OK,2025-12-23
159747.SZ,2024-10-24,2024-10-25,2024-11-01,1.118,1.114,-0.003577817531305927,-0.003577817531305927,TRADE_OK,2025-12-23
512290.SH,2024-10-24,2024-10-25,2024-11-01,0.9510000000000001,0.934,-0.017875920084121977,-0.017875920084121977,TRADE_OK,2025-12-23
513050.SH,2024-10-24,2024-10-25,2024-11-01,1.2189999999999999,1.218,-0.0008203445447086954,-0.0008203445447086954,TRADE_OK,2025-12-23
513220.SH,2024-10-24,2024-10-25,2024-11-01,1.107,1.116,0.008130081300813163,0.008130081300813163,TRADE_OK,2025-12-23
513330.SH,2024-10-24,2024-10-25,2024-11-01,0.432,0.434,0.004629629629629539,0.004629629629629539,TRADE_OK,2025-12-23
515180.SH,2024-10-24,2024-10-25,2024-11-01,1.337,1.326,-0.008227374719521285,-0.008227374719521285,TRADE_OK,2025-12-23
517180.SH,2024-10-24,2024-10-25,2024-11-01,1.524,1.516,-0.005249343832021025,-0.005249343832021025,TRADE_OK,2025-12-23
510100.SH,2024-10-24,2024-10-25,2024-11-01,1.364,1.351,-0.009530791788856408,-0.009530791788856408,TRADE_OK,2025-12-23
159601.SZ,2024-10-31,2024-11-01,2024-11-08,0.8260000000000001,0.863,0.044794188861985385,0.044794188861985385,TRADE_OK,2025-12-23
159740.SZ,2024-10-31,2024-11-01,2024-11-08,0.601,0.628,0.04492512479201327,0.04492512479201327,TRADE_OK,2025-12-23
159742.SZ,2024-10-31,2024-11-01,2024-11-08,0.618,0.644,0.04207119741100329,0.04207119741100329,TRADE_OK,2025-12-23
159747.SZ,2024-10-31,2024-11-01,2024-11-08,1.119,1.153,0.030384271671134888,0.030384271671134888,TRADE_OK,2025-12-23
159850.SZ,2024-10-31,2024-11-01,2024-11-08,0.738,0.758,0.027100271002709952,0.027100271002709952,TRADE_OK,2025-12-23
159920.SZ,2024-10-31,2024-11-01,2024-11-08,1.242,1.2710000000000001,0.023349436392914757,0.023349436392914757,TRADE_OK,2025-12-23
510050.SH,2024-10-31,2024-11-01,2024-11-08,2.735,2.8819999999999997,0.053747714808043856,0.053747714808043856,TRADE_OK,2025-12-23
510230.SH,2024-10-31,2024-11-01,2024-11-08,1.263,1.343,0.06334125098970711,0.06334125098970711,TRADE_OK,2025-12-23
510310.SH,2024-10-31,2024-11-01,2024-11-08,3.811,4.024,0.0558908422986093,0.0558908422986093,TRADE_OK,2025-12-23
510880.SH,2024-10-31,2024-11-01,2024-11-08,3.14,3.226,0.027388535031847017,0.027388535031847017,TRADE_OK,2025-12-23
510900.SH,2024-10-31,2024-11-01,2024-11-08,0.9380000000000001,0.965,0.028784648187633266,0.028784648187633266,TRADE_OK,2025-12-23
512070.SH,2024-10-31,2024-11-01,2024-11-08,0.8170000000000001,0.916,0.1211750305997552,0.1211750305997552,TRADE_OK,2025-12-23
512700.SH,2024-10-31,2024-11-01,2024-11-08,1.3820000000000001,1.418,0.026049204052098318,0.026049204052098318,TRADE_OK,2025-12-23
512800.SH,2024-10-31,2024-11-01,2024-11-08,1.37,1.409,0.02846715328467142,0.02846715328467142,TRADE_OK,2025-12-23
512890.SH,2024-10-31,2024-11-01,2024-11-08,1.061,1.099,0.03581526861451456,0.03581526861451456,TRADE_OK,2025-12-23
512930.SH,2024-10-31,2024-11-01,2024-11-08,1.2570000000000001,1.333,0.06046141607000788,0.06046141607000788,TRADE_OK,2025-12-23
513010.SH,2024-10-31,2024-11-01,2024-11-08,0.623,0.651,0.04494382022471921,0.04494382022471921,TRADE_OK,2025-12-23
513050.SH,2024-10-31,2024-11-01,2024-11-08,1.216,1.247,0.025493421052631637,0.025493421052631637,TRADE_OK,2025-12-23
513060.SH,2024-10-31,2024-11-01,2024-11-08,0.398,0.41300000000000003,0.03768844221105527,0.03768844221105527,TRADE_OK,2025-12-23
513130.SH,2024-10-31,2024-11-01,2024-11-08,0.604,0.63,0.04304635761589415,0.04304635761589415,TRADE_OK,2025-12-23
513260.SH,2024-10-31,2024-11-01,2024-11-08,1.165,1.215,0.0429184549356223,0.0429184549356223,TRADE_OK,2025-12-23
513310.SH,2024-10-31,2024-11-01,2024-11-08,1.4340000000000002,1.518,0.058577405857740406,0.058577405857740406,TRADE_OK,2025-12-23
513380.SH,2024-10-31,2024-11-01,2024-11-08,1.112,1.163,0.04586330935251781,0.04586330935251781,TRADE_OK,2025-12-23
513550.SH,2024-10-31,2024-11-01,2024-11-08,0.888,0.918,0.03378378378378377,0.03378378378378377,TRADE_OK,2025-12-23
513580.SH,2024-10-31,2024-11-01,2024-11-08,0.608,0.637,0.047697368421052655,0.047697368421052655,TRADE_OK,2025-12-23
513600.SH,2024-10-31,2024-11-01,2024-11-08,2.303,2.3649999999999998,0.026921406860616504,0.026921406860616504,TRADE_OK,2025-12-23
513890.SH,2024-10-31,2024-11-01,2024-11-08,0.922,0.9550000000000001,0.03579175704989157,0.03579175704989157,TRADE_OK,2025-12-23
515000.SH,2024-10-31,2024-11-01,2024-11-08,1.263,1.371,0.08551068883610458,0.08551068883610458,TRADE_OK,2025-12-23
515080.SH,2024-10-31,2024-11-01,2024-11-08,1.504,1.5619999999999998,0.03856382978723394,0.03856382978723394,TRADE_OK,2025-12-23
515180.SH,2024-10-31,2024-11-01,2024-11-08,1.312,1.36,0.03658536585365857,0.03658536585365857,TRADE_OK,2025-12-23
515980.SH,2024-10-31,2024-11-01,2024-11-08,0.933,0.996,0.067524115755627,0.067524115755627,TRADE_OK,2025-12-23
517180.SH,2024-10-31,2024-11-01,2024-11-08,1.4849999999999999,1.533,0.03232323232323231,0.03232323232323231,TRADE_OK,2025-12-23
560050.SH,2024-10-31,2024-11-01,2024-11-08,0.8210000000000001,0.859,0.04628501827040177,0.04628501827040177,TRADE_OK,2025-12-23
561990.SH,2024-10-31,2024-11-01,2024-11-08,0.846,0.888,0.049645390070921946,0.049645390070921946,TRADE_OK,2025-12-23
563000.SH,2024-10-31,2024-11-01,2024-11-08,0.8260000000000001,0.864,0.04600484261501192,0.04600484261501192,TRADE_OK,2025-12-23
588200.SH,2024-10-31,2024-11-01,2024-11-08,1.365,1.4809999999999999,0.0849816849816849,0.0849816849816849,TRADE_OK,2025-12-23
588290.SH,2024-10-31,2024-11-01,2024-11-08,1.3359999999999999,1.448,0.08383233532934131,0.08383233532934131,TRADE_OK,2025-12-23
159934.SZ,2024-11-14,2024-11-15,2024-11-22,5.648,5.952,0.053824362606232246,0.053824362606232246,TRADE_OK,2025-12-23
159937.SZ,2024-11-14,2024-11-15,2024-11-22,5.704,6.002000000000001,0.052244039270687326,0.052244039270687326,TRADE_OK,2025-12-23
518800.SH,2024-11-14,2024-11-15,2024-11-22,5.638,5.942,0.053919829726853497,0.053919829726853497,TRADE_OK,2025-12-23
518880.SH,2024-11-14,2024-11-15,2024-11-22,5.710999999999999,6.010000000000001,0.05235510418490663,0.05235510418490663,TRADE_OK,2025-12-23
